,COUNTY,AREA,EP_POV150_z,EP_UNEMP_z,EP_HBURD_z,EP_NOHSDP_z,EP_AGE65_z,EP_AGE17_z,EP_DISABL_z,EP_SNGPNT_z,EP_MINRTY_z,EP_MOBILE_z,EP_CROWD_z,EP_NOVEH_z,EP_NOINT_z,EP_AFAM_z,EP_HISP_z,EP_TWOMORE_z,RESL_VALUE_z,CRF_VALUE_z,ALR_VALA_z,HRCN_ALRB_z,HRCN_ALRA_z,IFLD_ALRB_z,RISK_VALUE_log,HRCN_RISKV_log,IFLD_RISKV_log,POPULATION_DENS_log,BUILDVALUE_DENS_log,AGRIVALUE_DENS_log,E_HU_PER_SQMI_log,E_HH_PER_SQMI_log,EP_AIAN_log,EP_ASIAN_log,EP_GROUPQ_log,EP_MUNIT_log,EP_LIMENG_log,IFLD_EXP_AREA_RATIO_log,EP_OTHERRACE_log,EP_UNINSUR_log,ALR_VALB_log,log1p_HRCN_UNEXP_RATIO_z,RISK_SPCTL_z,SOVI_SPCTL_z,RESL_SPCTL_z
30,DUPLIN,828.4979328600001,0.8490812032125358,-0.16635931472256174,-0.41930419905984595,1.731220685348639,-0.29256438984776106,1.1750850862582618,0.1916931273825211,0.23191928844753038,0.9058915363650069,1.770585974358123,1.901851021894989,-0.2160252995033348,0.9125058076952111,0.11717023178140021,3.6672716688573104,0.6967294144037759,-1.948415462204218,1.0233061141825968,-0.293650488590259,0.868338336061723,0.9304454665521021,-0.6085045134169803,18.23793479956925,17.875171485766145,16.287217983469688,4.089153508265436,16.268952336055065,14.488847193583634,3.410892720997081,3.2543601950159866,0.18232155679395465,0.4054651081081644,0.6418538861723948,0.7419373447293773,2.1041341542702074,0.05663177530593668,0.18232155679395465,2.760009940032921,0.0033557858152628633,-0.3900370240438445,1.0272041615391874,0.8151593747172541,-1.680173294106838
31,DURHAM,300.86958174,-0.8730411666188855,-0.774316943276774,0.8010759519655124,-0.8575205263876432,-1.3731157948603987,-0.13174233158230633,-2.0617527274276863,0.23191928844753038,1.3592056222422857,-2.0551549772392876,0.6311265083794063,0.4896834829032021,-1.424528856949102,0.908776087248235,1.3984580788047425,0.8863156496156875,1.325708313897085,-1.1661353065443396,-0.11183987723964393,-0.49008854817171904,-0.47025934124719093,0.032187989143547646,18.26163904007466,15.781830208233508,17.80034873570739,6.984536951382263,19.201649945547683,10.674569785143246,6.2286519212384714,6.157241241800652,0.18232155679395465,1.824549292051046,1.7047480922384253,3.104586678466073,1.7749523509116738,0.19379398586535723,0.33647223662121295,2.517696472610991,0.0012307563251963928,-0.3900370240438445,1.0372865109520548,-1.3181300527342832,1.4723168041142394
32,EDGECOMBE,511.98422808,1.433105311242322,1.6022446956169638,1.0083103172339691,0.41195833705995677,-0.08868676626047094,0.821888486841892,-0.1688582093871119,2.046087083914467,1.7671882995318362,0.5543782027083285,0.10165796108124672,1.8226889607822165,0.9732080067768818,2.290945041237946,-0.6289923633698933,-0.34599487926173933,-0.009925771118115375,0.924733677910602,1.013806941180162,-0.38965676440860875,0.30800689973348505,0.3872918415961139,17.43641706077343,15.646746185281668,16.681570083523617,4.569613972600937,16.71448788572726,13.00157045424218,3.8492607450721716,3.670811579699437,0.18232155679395465,0.18232155679395465,0.9162907318741551,0.9932517730102833,0.5877866649021191,0.08426130318580069,0.09531017980432487,2.533696813957432,0.001527248117711368,-0.3900370240438445,0.43666655307126734,1.0059413560340582,0.08660687083024937
33,FORSYTH,416.51493663,-0.15424226442837966,-0.05582156407634176,0.6398936678678238,-0.48414439007952553,-0.8430339735334449,0.821888486841892,-1.280558164426814,0.9183611570025877,0.6452359369855716,-1.7835746010456444,-0.00423574837838528,0.33285930903508265,-0.7112780177394739,0.3559085056523504,1.3743217640169487,0.03317759116208428,0.75738597096027,-0.781725470442298,0.6855908050737144,-0.5286998493400864,-0.7075730049156097,0.17853472127038847,18.50931071507104,15.375322405788705,18.13842544959788,6.823707396641331,19.06588710938814,10.425337617169124,6.041175280563724,5.930621778739136,0.18232155679395465,1.2237754316221157,1.308332819650179,2.7343675094195836,1.308332819650179,0.24031637167772357,0.4054651081081644,2.4423470353692043,0.0012347228566459312,-0.3900370240438445,1.1237066487766276,-0.9539099065840208,1.1258893207932419
34,FRANKLIN,499.56491169,-0.7981662809740411,0.10998506189298918,-1.0179812542798325,0.0883656855929213,-0.7410951617397998,0.46869188742552215,0.07150934845931045,0.23191928844753038,0.237253259696021,0.6842644695835494,0.31344538000051025,-1.0001461688439315,-0.6961024679690564,0.24910454102587273,0.33646022814183796,0.5071431791918639,-0.42736803854650546,-0.7756047232553723,0.6983663329054249,-0.5333062963058927,-0.010337009808257823,-0.5166848785106927,16.686121912810876,13.80352892599834,15.934414637890688,4.927117428307533,16.883350286466104,11.923016701719046,4.119367185929457,4.004211603828074,0.26236426446749106,0.4700036292457355,1.1314021114911006,0.9932517730102833,0.9555114450274363,0.06449453872746168,0.26236426446749106,2.379546134130174,0.0010664529572160628,-0.3900370240438445,-0.6795935604961431,-0.9539099065840208,-0.4330343541512469
35,GASTON,367.35609885,-0.5435916697815703,-0.44270369133811266,0.38660722142859816,-0.08587651135086678,-0.8430339735334449,0.6806098470753446,-0.5594554908875481,0.28095085048717716,-0.16506299152006393,-1.2286060062151556,-0.21602316729764928,-0.13761321256927506,-0.5595225200352977,-0.15926355901654196,-0.0014481788872680805,0.2227638263739963,0.35103783701304947,-1.0600173762395173,-0.9592867166160752,-0.5570479073057001,-0.7890818322839172,-0.20872747440833433,17.866299892173828,13.358466395752465,17.374957940277913,6.431792201972599,18.60774263792467,11.304602641948106,5.628360413873406,5.54199524793356,0.18232155679395465,0.9555114450274363,0.832909122935104,1.9021075263969205,0.9162907318741551,0.18593335897069357,0.26236426446749106,2.4159137783010487,0.0011641622934319411,-0.3900370240438445,0.8212361663906205,-1.2140671538342083,0.5716053474796459
36,GATES,349.23474963,-0.2890170585890994,1.9891268228787358,-0.9489031325236809,-0.807737041546561,0.13557861968554774,-0.2730209713488538,0.7625660772677744,-1.091932886622937,0.20325470325522502,2.727021212257475,-1.2749602618939684,-0.9217340819098719,1.2767190021852342,0.745428847231269,-1.1599912887013455,-1.0095467025034308,-1.4732539856494022,-0.6095188890353155,-0.3026021381899449,-0.3743274462432784,0.5225429647955389,-0.7096024851536491,15.45627840043335,14.228847022441213,14.382805776729619,3.431856550993773,15.641605943931316,12.501337186248987,2.717872327193598,2.577662929068441,0.4700036292457355,0.09531017980432487,0.4700036292457355,0.0,0.6931471805599453,0.03135969982794977,0.0,2.128231705849268,0.0012032475481200432,-0.33372151807873696,-2.5477088731373456,-0.6590650263671416,-1.4723168041142394
37,GRAHAM,304.68625395000004,-0.7083164182002282,1.1048248177089723,-1.271267700719058,0.7853344733680745,0.6248849162950445,-0.02578335175739514,0.9127958009217881,-0.6996803903057616,-1.0660247372011553,1.0857311126524132,-1.1690665524343364,0.2544472221010233,1.4284744998894103,-1.1958902745088256,-0.9427644556112061,-1.1043398201093868,-0.822526985893429,0.32612885809417225,2.3335551251373525,-0.5560878757929126,-0.9748884427469623,3.8038916595215193,15.84068007140779,10.5684782493251,15.365827971587898,3.306856829078847,15.635381115472988,8.65987147295351,2.94742643394141,2.475548300531352,2.2082744135228043,0.0,1.0296194171811583,0.832909122935104,0.6931471805599453,0.022006699995890232,0.09531017980432487,2.928523523860541,0.0023426915379829555,-0.3900370240438445,-2.1127275127536578,0.29484488021687916,-1.1951748174574415
38,GRANVILLE,543.01800657,-0.3339419899760061,-0.5532414419843331,-0.3962781584744615,0.3621748522188742,-0.7003196370223412,-0.06110301169903263,-0.04867443046390126,0.08482460232858922,0.5829052501774461,0.04664097765064781,-0.6395980051361768,-0.6472917776406631,-0.7568046670507269,0.5820816072143032,0.31232391335404475,0.7915225320097319,0.4834822103250296,-0.6370436258919531,-0.16455165109281064,-0.39416604009178324,-0.33957861518642624,-0.4275426337414541,16.898653981893435,15.245706674163163,16.240059019241087,4.7299103946185435,17.055780858630065,11.938887468148932,3.84503234031592,3.7238516678914815,0.26236426446749106,0.5306282510621704,2.0541237336955462,0.6418538861723948,1.0296194171811583,0.05122683403992561,0.4054651081081644,2.451005098112319,0.0012662460221518363,-0.3900370240438445,-0.3339130091978483,-0.6590650263671416,0.8487473341364439
39,GREENE,269.90670291000004,1.0587308830181,-0.11109043939945175,0.8471280331362805,2.776673867011368,-0.8226462111747156,-0.4496192710570387,1.1832093034990128,0.86932959496294,1.1778799878913744,2.5617114180526483,2.007744731354621,-0.09840716910224537,0.5179415136643534,0.7768417780037624,1.9053206893484012,2.4977986489169384,-1.755682602229216,1.3435467025448387,-0.4133306304634892,0.424201395224926,0.4527501138694886,-0.563797463050539,16.986256913369044,16.431671018613226,15.41667451182561,4.340822100702697,16.503341916824482,13.961170359461141,3.4202234832831575,3.2759096247850246,0.5306282510621704,0.09531017980432487,2.6602595372658615,1.2809338454620642,1.410986973710262,0.05677268023875412,0.09531017980432487,2.884800712846709,0.00262764731080017,-0.3900370240438445,-0.1855584392656637,1.1620357043841707,-1.6455305457747382
