COUNTY,AREA,RISK_VALUE,RISK_SPCTL,ALR_VALB,ALR_VALP,ALR_VALA,SOVI_SPCTL,RESL_SPCTL,RESL_VALUE,CRF_VALUE,HRCN_ALRB,HRCN_ALRP,HRCN_ALRA,HRCN_RISKV,IFLD_ALRB,IFLD_ALRP,IFLD_ALRA,IFLD_RISKV,HRCN_EXP_AREA_RATIO,IFLD_EXP_AREA_RATIO,POPULATION_DENS,BUILDVALUE_DENS,AGRIVALUE_DENS
MECKLENBURG,551.5924514100001,275531152.22940147,97.07379134860051,0.001354019177411,2.375976283e-06,0.018748594430313,5.0,82.0,2.508486297,0.866474331,1.633580666e-05,1.3685847e-08,0.001923948403434,3495082.661381193,0.001083181582302,2.30200023e-07,0.000135661225527,222173414.19698456,1.0,0.37040919562425456,2020.8634058544174,423272485.66253173,10080.366375186395
MITCHELL,224.12066625,8516216.16560511,23.950381679389313,0.001672825664621,1.0337138939e-05,0.023712287194788,44.5,65.0,2.479960178,1.234573411,2.3461773357e-05,1.0402789e-08,0.000368602839089,95831.96131174147,0.001277553963303,6.1302713e-08,0.00031248785848,5017256.28097028,1.0,0.04802502602520963,66.46419649397237,14146464.612341389,13493.093031531178
MONTGOMERY,506.5953282,16313260.538066497,48.95038167938932,0.001407441743107,4.978835225e-06,0.005853668832656,63.5,14.000000000000002,2.378483042,1.398633871,0.000238382775934,1.16366199e-07,0.003506843358229,3341579.9277537726,0.000802328489827,2.1651601e-08,0.000677315957697,8193298.487609065,1.0,0.03533392203732671,50.77425425811497,14086326.775565397,364218.299555965
MOORE,712.8014244000001,36497095.86462007,75.63613231552164,0.001102110960745,5.145274826e-06,0.00735146657764,26.0,71.0,2.484478238,1.056207504,0.000172158822615,1.28960509e-07,0.004513779889501,5973166.161785094,0.000621540291479,5.9500554e-08,0.000444995923341,17738326.068472844,1.0,0.07354948292800344,139.77525379367071,37529775.261767834,271583.9354038193
NASH,548.3078835,45280355.88886068,80.59796437659033,0.001396001062761,6.742962859e-06,0.013981575619196,44.5,63.0,2.474101612,1.23550895,0.000220590533703,1.62151175e-07,0.006110661785016,7560452.272605486,0.0008524363487,1.124727173e-06,0.000206363289162,22879754.81821672,1.0,0.08091671381610968,173.09070844318802,36382649.349596664,450058.46245506336
NEW HANOVER,332.17913547,223452573.16344336,96.11959287531806,0.004452547779134,9.312518158e-06,0.023218130820532,10.0,97.0,2.623042462,0.869068872,0.002974051497979,3.298337795e-06,0.016518583255972,157666657.77642682,0.00076416310759,6.54288443e-07,0.002300666937885,39982571.89510451,0.643991233064124,0.17143195553146812,678.3809575552087,173227864.19316465,18705.563765190684
NORTHAMPTON,556.11033777,14613824.791245764,44.211195928753185,0.001347577601555,5.009251596e-06,0.016055916806895,96.0,19.0,2.384595543,1.751915737,0.000254861513391,1.68329842e-07,0.006648458621889,3660310.2039771234,0.000791570556165,2.2656566e-08,0.000300846932931,5906601.124002089,1.0,0.039236107316374,31.3534901543429,7546038.019770797,264951.97084600676
ONSLOW,914.33174898,179941179.2063073,94.97455470737911,0.006182576714697,9.075983655e-06,0.02060366016396,5.0,51.0,2.445575358,0.834127553,0.004652124898879,3.413800063e-06,0.016499306020347,142313330.35994068,0.000653543925771,1.98685938e-07,0.000459918507796,18998777.326945767,0.8614404182063776,0.07232293485869651,221.9642927486698,37022136.95604749,241606.18752049058
ORANGE,405.00751785,42006981.61708759,79.07124681933843,0.001478312756943,4.600820963e-06,0.010021451731915,5.0,99.0,2.646590406,0.845016318,9.0248244016e-05,7.2726981e-08,0.002390508282917,2534487.8141169655,0.001094997746423,2.9688741e-08,0.000233799067727,28104272.69322464,1.0,0.10003776689037389,366.85491861666685,74832900.35674088,119879.52781158479
PAMLICO,567.29685558,32422258.044560116,72.36005089058524,0.006288645655574,1.0011949905e-05,0.02318582860325,73.0,91.0,2.552293859,1.437155534,0.004876547773605,3.875703613e-06,0.01788986876038,27055660.49804814,0.000404227045316,3.92322099e-07,0.001152033072593,2245472.54995005,0.6094187850238252,0.034062125317876175,21.528411236324448,6376008.526086249,53055.65102987874
