COUNTY,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EP_NOINT,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,EP_NHPI,EP_TWOMORE,EP_OTHERRACE,E_HU_PER_SQMI,E_HH_PER_SQMI
BUNCOMBE,21.2,3.6,27.3,7.9,11.3,20.6,18.0,13.6,5.1,2.3,17.5,10.2,12.7,2.2,5.4,2.6,14.1,5.6,7.1,1.1,0.1,0.1,3.1,0.3,198.14422251370567,156.77309926379027
BURKE,28.2,6.0,18.3,15.2,10.8,21.0,18.2,20.4,5.3,1.2,19.1,2.1,20.2,1.9,4.6,3.2,20.1,5.9,6.7,3.4,0.1,0.1,2.4,0.5,78.56605622240684,69.52285089753373
CABARRUS,16.5,4.9,22.9,8.0,8.0,13.3,25.2,10.7,6.9,1.4,39.1,8.5,5.5,3.0,3.7,0.8,9.4,18.6,11.3,4.9,0.0,0.0,3.5,0.6,243.69645197826992,212.8271089512716
CALDWELL,26.0,5.8,18.5,18.1,11.3,20.7,19.9,18.8,6.3,0.7,13.9,3.0,17.1,2.1,4.8,1.3,16.8,4.2,6.2,0.5,0.1,0.1,2.7,0.1,78.67336520085652,68.06703004044476
CAMDEN,13.0,5.7,23.7,7.7,3.7,15.8,23.8,15.5,7.6,0.5,21.2,4.1,14.0,1.2,1.3,0.3,7.1,8.1,3.7,1.4,0.2,0.2,6.7,0.9,17.351509422850146,16.10736042586401
CARTERET,16.8,4.9,24.3,7.9,10.1,25.8,17.1,17.4,3.7,0.4,14.0,10.5,16.7,0.9,3.9,1.7,8.7,4.2,4.5,1.2,0.3,0.0,3.5,0.2,100.6611553018732,59.916791477829406
CASWELL,23.4,6.0,22.1,16.3,9.9,22.0,18.1,19.9,5.8,1.2,40.4,0.6,21.8,1.1,4.7,5.6,22.9,32.0,4.8,0.9,0.1,0.0,2.6,0.0,24.668135694673836,19.99922141947873
CATAWBA,22.2,5.1,20.4,12.6,11.8,18.3,21.8,14.0,6.4,2.0,26.5,6.4,13.0,2.5,4.9,1.7,13.5,8.1,10.4,4.1,0.1,0.0,3.6,0.3,177.0097330951727,160.55373513475755
CHATHAM,19.4,2.8,20.3,10.6,8.8,24.8,19.5,12.9,4.1,3.3,28.9,2.4,13.5,1.8,3.1,0.9,15.1,10.6,12.2,1.7,0.2,0.0,3.6,0.7,50.155596189380375,45.668144632102965
CHEROKEE,29.8,4.9,22.6,8.8,16.2,30.7,16.1,18.1,3.3,0.3,9.9,0.4,19.2,0.9,4.3,1.5,20.2,1.5,3.7,0.5,1.6,0.0,2.5,0.1,39.52665039426445,28.00627600411118
CHOWAN,31.8,4.3,25.6,13.4,6.6,25.6,19.6,16.5,8.9,0.8,39.8,0.5,22.1,0.5,10.2,2.0,18.9,33.4,3.7,0.1,0.1,0.0,2.5,0.1,41.48107024783083,36.00200120923156
CLAY,23.3,4.0,24.2,11.7,15.3,31.9,16.5,16.3,1.8,0.3,8.3,3.2,14.0,1.4,7.3,0.8,20.6,1.0,3.9,1.1,1.1,0.1,1.1,0.0,34.04915127374114,22.75525246327072
CLEVELAND,29.6,6.4,24.9,13.2,11.2,18.7,22.1,16.2,7.5,0.7,28.5,2.6,19.5,3.4,6.5,1.7,23.4,20.1,4.1,0.9,0.1,0.1,3.0,0.2,94.30709358843117,78.76587390361708
COLUMBUS,35.9,5.8,29.5,14.4,14.2,20.1,20.6,17.5,7.2,1.2,41.2,1.6,30.7,1.9,6.2,5.3,22.7,28.5,5.9,0.5,3.1,0.1,3.0,0.3,25.200383084295563,20.450461041081613
CRAVEN,24.0,5.1,26.5,9.1,9.2,19.8,21.7,15.4,7.3,1.5,35.2,4.8,14.2,2.0,5.9,4.7,17.5,20.8,7.8,2.6,0.3,0.2,3.1,0.5,66.59049861165776,58.03227997433455
CUMBERLAND,28.1,7.9,34.5,7.7,10.8,12.5,24.9,16.7,9.9,1.4,59.0,11.1,8.5,2.8,6.9,4.8,11.4,36.4,12.5,2.4,1.0,0.3,5.5,0.8,218.68091214001223,194.22791698214357
CURRITUCK,13.8,3.2,21.3,7.2,11.2,16.7,22.2,11.7,7.0,0.4,14.8,0.9,11.2,1.0,1.7,0.4,10.4,5.6,4.8,0.8,0.2,0.0,2.3,1.2,61.92582404858323,42.41149599430683
DARE,13.2,5.1,24.3,5.1,11.6,23.0,18.4,10.6,3.7,1.5,14.2,4.7,4.5,2.7,1.8,0.5,7.1,3.0,7.6,0.5,0.1,0.0,2.3,0.7,90.00627375931055,41.961873085074444
DAVIDSON,24.8,4.3,21.9,13.5,10.9,18.5,21.7,15.3,6.6,1.5,21.9,2.9,13.6,1.8,4.2,1.1,14.9,9.5,7.8,1.5,0.1,0.0,2.8,0.1,135.50384506538626,122.35441513121485
