COUNTY,cancellation_rate,active_premium_per_policy,new_premium_per_policy,canceled_premium_per_policy,expired_premium_per_policy
DUPLIN,0.015783424157559237,520.7592732778198,538.3796875,497.0769230769231,504.9536621823617
DURHAM,0.025087760775575917,614.5619865571322,622.1114391143911,593.9545454545455,601.6118370484243
EDGECOMBE,0.008534447033743139,600.5859030837005,593.6876606683804,567.875,608.5012406947891
FORSYTH,0.01813214671671886,681.2930883639546,701.2047101449275,882.05,665.4699828473414
FRANKLIN,0.017625772873127905,544.7272727272727,562.1494252873563,476.6,528.0795454545455
GASTON,0.020864378374448576,750.2557781201849,749.09375,1077.5294117647059,748.9907120743034
GATES,0.014603589999523168,576.956834532374,522.1739130434783,691.8333333333334,623.8676470588235
GRAHAM,0.0256271891129026,977.7011494252873,961.4347826086956,702.0,1011.025641025641
GRANVILLE,0.013139548623419591,431.7956989247312,444.2826086956522,512.6,419.0869565217391
GREENE,0.010035148380459786,493.83417085427135,499.34736842105264,543.3333333333334,489.07766990291265
GUILFORD,0.017850460281401297,765.7230142566192,748.1615168539325,1102.0,778.8836898395722
HALIFAX,0.009087046834375414,653.5990990990991,689.5504587155963,879.5,620.0357142857143
HARNETT,0.015753338273656832,579.1264367816092,599.1173333333334,777.8181818181819,558.74
HAYWOOD,0.02394038348495926,897.2219101123595,900.8400735294117,1229.6315789473683,879.2673267326733
HENDERSON,0.024238985783125704,625.7878787878788,609.4461077844311,781.8260869565217,645.5425867507886
HERTFORD,0.006481354066327233,630.1917808219179,620.7323943661971,556.5,639.1466666666666
HOKE,0.02319345587824657,462.04487179487177,457.43046357615896,504.0,466.525
HORRY,0.04,479.8333333333333,517.6666666666666,0.0,442.0
HYDE,0.013258276900346127,495.84262456832755,481.6220703125,780.9756097560976,508.8857431749242
IREDELL,0.016284140146979844,596.439024390244,639.1485714285715,1506.2857142857142,558.2435233160621
JACKSON,0.017310108643740735,657.5729613733905,712.8177570093458,792.5833333333334,618.0816326530612
JOHNSTON,0.018677168119575746,534.6749049429658,563.3453093812375,550.2222222222222,511.39629629629627
JONES,0.011121034179055547,500.33648393194704,534.890625,468.5,468.37269372693726
LEE,0.016797292196094476,738.3309090909091,805.0652173913044,844.0,674.5037037037036
LENOIR,0.013398829149825245,659.2811704834605,628.6758104738154,1110.6875,688.0131926121372
LINCOLN,0.023405888368232302,523.2008928571429,543.5471698113207,506.625,507.9734513274336
MACON,0.020667099375327534,844.8629441624365,811.5051546391752,614.0,879.1725888324873
MADISON,0.037356388973225546,925.9779411764706,894.5555555555555,1471.4,916.7258064516129
MARTIN,0.008147552166539508,605.0681818181819,592.364705882353,507.0,616.934065934066
MCDOWELL,0.020598630769919572,776.2389937106918,790.3246753246754,0.0,763.0121951219512
MECKLENBURG,0.01653218616568567,591.8454615090004,616.6376021798366,842.954128440367,564.8136954858454
MITCHELL,0.015744359209404802,921.5925925925926,1046.7692307692307,963.0,816.8888888888889
MONTGOMERY,0.019835936115005882,980.2826086956521,995.2727272727273,3718.5,966.5416666666666
MOORE,0.028536724996230618,641.9442307692308,633.3157894736842,769.3076923076923,642.1839530332682
NASH,0.015905674401063687,708.1237024221454,698.1660899653979,750.1875,720.3176265270506
NEW HANOVER,0.01713663292887437,679.3133594186696,669.1917479369843,859.9163498098859,689.4353383458647
NORTHAMPTON,0.00656443368307775,462.4920634920635,485.26666666666665,0.0,441.7878787878788
ONSLOW,0.024219285535290496,651.7595517065715,665.823890366128,862.2525252525253,635.2897526501766
ORANGE,0.017451896295686824,673.9882352941177,698.2933070866142,745.9677419354839,653.2019801980198
PAMLICO,0.01424034708789636,526.4190426366728,551.491897543126,565.0579710144928,502.25465178096755
PASQUOTANK,0.018628415755002757,516.3558183284064,517.9263440860215,538.6626506024096,515.6316076294278
PENDER,0.01906580365112718,876.2242981316815,824.3969345647475,1514.4788732394366,924.6415600495254
PERQUIMANS,0.01687491549189144,530.1280310378273,572.3538767395627,629.5,490.7151051625239
PERSON,0.012903225806451613,595.1290322580645,652.5,567.0,533.9333333333333
PITT,0.01364696455674077,498.0064758009543,507.2603305785124,568.7619047619048,488.74399450926563
POLK,0.03116776479984027,622.762962962963,656.6818181818181,629.4,593.1940298507462
RANDOLPH,0.018890047622244034,716.4597156398104,717.5283018867924,827.5,710.2450980392157
RICHMOND,0.015458839406207828,869.9625,736.95,1326.0,1002.975
ROBESON,0.010921082921779623,623.4523002421307,611.6341708542714,933.3913043478261,632.8391345249295
ROCKINGHAM,0.027393347393347388,791.1428571428571,761.328125,686.0,832.3833333333333
ROWAN,0.02120244372515069,746.801652892562,752.2159090909091,977.8888888888889,742.1847826086956
RUTHERFORD,0.03593919111995124,871.3812154696133,916.2087912087912,772.4166666666666,825.9404761904761
SAMPSON,0.010178129179441445,607.5804195804196,633.4444444444445,1307.3333333333333,569.8156028368794
SCOTLAND,0.009303335045333932,542.4429530201343,585.463768115942,567.0,505.3375
STANLY,0.02502956393200296,824.5121951219512,782.5,1177.0,852.3333333333334
STOKES,0.013059947299077734,449.4888888888889,453.0,474.0,445.8181818181818
SURRY,0.016708023159636064,637.7142857142857,682.0952380952381,1253.0,578.2592592592592
SWAIN,0.024408235969291075,1033.4251497005987,1042.7764705882353,1014.0,1037.5696202531647
TRANSYLVANIA,0.026488068150819666,699.3990267639903,679.3157894736842,741.7222222222222,716.2385786802031
TYRRELL,0.024069778612682523,649.548596112311,583.2430107526882,744.6060606060606,707.0982142857143
UNION,0.014377074204076093,559.1270010672358,604.8274336283185,755.65,515.1781970649895
VANCE,0.009417989417989417,519.1333333333333,555.75,625.0,489.84
WAKE,0.016793682775257626,586.9788194985205,612.4593392630242,863.6881720430108,555.8084577114428
WARREN,0.012650409626216077,489.796875,554.060606060606,1538.0,421.38709677419354
WASHINGTON,0.021620498256565188,585.1796536796537,600.6523605150214,819.6,567.8193832599119
WATAUGA,0.02106070378420257,723.1295774647888,739.5988857938719,621.7857142857143,706.8242074927954
WAYNE,0.020406176404036882,574.1776081424937,568.4036144578313,822.2424242424242,580.6027111574557
WILKES,0.02171383647798742,843.1875,939.5714285714286,1266.0,768.2222222222222
WILSON,0.010697069188803476,633.9625267665953,619.9847826086957,1420.3,639.9322033898305
YADKIN,0.0125,653.695652173913,737.0,0.0,589.6153846153846
YANCEY,0.027430691097204262,947.8385650224216,931.5263157894736,1221.4,960.8130841121496
