,COUNTY,cancellation_rate_z,resPenetrationRate_z,active_premium_per_policy_log_z,new_premium_per_policy_log_z,canceled_premium_per_policy_log_z,expired_premium_per_policy_log_z
52,LEE,-0.17350358678297842,-0.4172378640256702,0.50830278565543,1.0019619490757703,0.30462738107596626,0.16477472344628433
53,LENOIR,-0.6614619182897937,-0.27457586696470876,0.03665519110706837,-0.23277754198908895,0.46250326862655644,0.23556986717930256
54,LINCOLN,0.7753722779402636,-0.45463469820669894,-0.9259559122309419,-0.9589959266620989,0.011323703578357191,-0.8472288670417653
55,MACON,0.3821313072037618,-0.37291569018148807,1.0697583386711629,1.0417480924613063,0.12176248150028209,1.1109825962664712
56,MADISON,2.7784139194759003,-0.35629487498991974,1.4517001160849794,1.5283351254554807,0.6242451083806769,1.2603564050107845
57,MARTIN,-1.4154510952082275,-0.42000799989093157,-0.3206816365611611,-0.5297428861876595,0.01174873536287866,-0.1536921522538891
58,MCDOWELL,0.3723004436632139,-0.3936917091709484,0.716858606398317,0.9096847608576917,-3.5742911459662703,0.6049705442348478
59,MECKLENBURG,-0.21156805725373587,-0.3770708939793801,-0.4126869592438538,-0.3292890826902312,0.30391455421236674,-0.4687269168702068
60,MITCHELL,-0.32468587606448385,-0.41031252436251675,1.4319214740622095,2.313169996735632,0.3804606044467659,0.848593885296093
61,MONTGOMERY,0.2627911725032981,-0.47125551339826727,1.6891539566642073,2.0611938979607403,1.1576175531381663,1.4493404076074208
62,MOORE,1.5120683803094084,-0.3022772256173227,-0.07432384741580594,-0.1960701710486395,0.2513609084397573,-0.01050929390692023
63,NASH,-0.30152390822876357,-0.2898116142236464,0.3343100633391667,0.2906138770608793,0.2368942563081783,0.3993821207333287
64,NEW HANOVER,-0.12478034468053693,1.613271725210927,0.16131479011949154,0.07900155258526072,0.31536781555124954,0.24294157360789867
65,NORTHAMPTON,-1.6427585113108185,-0.45601976613932965,-1.4393373382539687,-1.524956204050046,-3.5742911459662703,-1.3452709939338139
66,ONSLOW,0.8921615203378823,0.4193431672832689,-0.011130767979865673,0.05381332256253586,0.3169275455421555,-0.04903814120650571
67,ORANGE,-0.07951418042905146,-0.2898116142236464,0.12853860116544163,0.2915235289084365,0.2336519399619567,0.0502166635400803
68,PAMLICO,-0.5406350376076529,3.224105730860424,-0.9004282389812602,-0.8865783446748544,0.07403340468720049,-0.8876269149661118
69,PASQUOTANK,0.08941290941626295,1.0246178538428818,-0.9807790572453248,-1.1999476242906548,0.04654892322221529,-0.7938362240899316
70,PENDER,0.15221396539609638,1.8168767113076392,1.221602442772198,1.1204551030192251,0.6408430773146134,1.2910616323722195
71,PERQUIMANS,-0.1623582739202336,0.3833314010348708,-0.8711995382645791,-0.7012653720420366,0.1360887765644363,-0.9705599607140557
72,PERSON,-0.7326216682206566,-0.472640581330898,-0.38964935157172614,-0.047099142316758144,0.07600466682442657,-0.6693764306393205
73,PITT,-0.6258341249320922,-0.14853468509531562,-1.131398691500425,-1.3037836039225514,0.07778727088633235,-0.9849204308772225
74,POLK,1.889838500277833,-0.3784559619120108,-0.20065099891929963,-0.015207035995682523,0.13599748243327214,-0.29375329717736554
75,RANDOLPH,0.12697855237601646,-0.46433017373511376,0.3830548977864569,0.42719128159942205,0.29327738256532576,0.3491060544068715
76,RICHMOND,-0.3656813981235201,-0.46571524166774453,1.1917227919739437,0.560539871007267,0.5644020272322381,1.581493452945675
77,ROBESON,-1.0172218306012442,-0.11944825851007103,-0.19604414167408982,-0.3699567048990451,0.3625053211177173,-0.06283428342204918
78,ROCKINGHAM,1.3478998665462123,-0.4740256492635287,0.7960805926066827,0.7230372094639783,0.1854843203723265,0.9156903065072841
79,ROWAN,0.45899715278300895,-0.4421690868130227,0.5558186894600798,0.6629142737794861,0.3892821834852653,0.50615569190384
80,RUTHERFORD,2.5749297295689586,-0.4393989509477613,1.198511307466374,1.647783875716,0.2536792182552199,0.8879432344642579
81,SAMPSON,-1.1238966608295913,-0.41585279609303955,-0.30342829825988793,-0.19505619775597183,0.5562481910099957,-0.4372603852230025
82,SCOTLAND,-1.2495014063511451,-0.4338586792172386,-0.7755951111242219,-0.5882318184174541,0.07600466682442657,-0.8657927391520515
83,STANLY,1.0085029632586384,-0.46571524166774453,0.9681825137074156,0.8600006878244598,0.49585083602509167,1.0002669201925556
84,STOKES,-0.7101192731638526,-0.472640581330898,-1.558024566282727,-1.8682398627900003,-0.02690995650062806,-1.3128764242523083
85,SURRY,-0.18632101910235782,-0.4809509889266821,-0.10185512778025596,0.17434919384979541,0.5318352933124394,-0.38476253474411287
86,SWAIN,0.9192914132503935,-0.3673754184509652,1.9091312403263565,2.2940808772100025,0.4101324155099465,1.7026112111266685
87,TRANSYLVANIA,1.2179180063001482,-0.26903559523418596,0.28267494367157603,0.15396413581049728,0.23037129185335303,0.37910704875399265
88,TYRRELL,0.8706950081200749,1.8515034096234064,-0.025282049157286685,-0.6072003189508254,0.23260176105249358,0.33325262467592354
89,UNION,-0.5210034763476176,-0.42831840748671574,-0.6494712990368567,-0.42581802013738457,0.24106450844475785,-0.7969752910988311
90,VANCE,-1.2330390951183223,-0.47679578512879006,-0.9584466097871962,-0.8481924667537403,0.13196613686239084,-0.9769283957080119
91,WAKE,-0.17402183486903267,-0.37291569018148807,-0.44706720831903124,-0.36322696053728903,0.31788395172386835,-0.5260857314806291
92,WARREN,-0.7689215366629764,-0.45463469820669894,-1.2005890391825746,-0.8633867408294129,0.6497075536507494,-1.5139079104097544
93,WASHINGTON,0.5190222843941416,0.017673466820367644,-0.4598494565966132,-0.46039327948711317,0.2877628726050512,-0.4497852272552539
94,WATAUGA,0.43864583980673716,-0.21224780999632753,0.42165076661394335,0.5784544874012295,0.12900320940256055,0.3318688953290095
95,WAYNE,0.3446674489862784,-0.31751297287626024,-0.5388778266293763,-0.7358316873733812,0.2896132752403041,-0.37032791573878865
96,WILKES,0.5324239786809178,-0.4823360568593128,1.061488579407189,1.7735402278912762,0.5377713475418949,0.6292680878418069
97,WILSON,-1.0493861842780192,-0.3008921576846919,-0.12642706371843682,-0.3022668792826531,0.6039151706052206,-0.02304779186209544
98,YADKIN,-0.7905176609261283,-0.47956592099405143,0.0012219868839682248,0.5608786198823522,-3.5742911459662703,-0.3153506611531905
99,YANCEY,1.3532617525453228,-0.2662654593689246,1.5489198200679295,1.7305911475321116,0.5171455784959068,1.4281096427931497
