COUNTY,Factor1,Factor2,Factor3,Factor4,Factor5
GREENE,-1.3074525095707412,0.8028714981365156,0.8263501024562738,0.2418823366164021,2.2938590653842783
GUILFORD,1.8917143766158786,0.37106761608115757,1.043395609924839,0.2099937766249101,-0.2890754886060223
HALIFAX,-0.8467241586888197,2.370560290427869,0.12742085850138193,0.03121851218857457,0.4444457722059636
HARNETT,0.021308117689388183,-0.349638039950439,1.4694560128416219,0.23103181512884055,0.0501150918828773
HAYWOOD,-0.18548125705600735,-0.577440494034937,-1.223458899818151,-1.0345361445038994,-0.44597636291435944
HENDERSON,0.5029660688273576,-1.201527286515906,-0.6778291980912191,0.07991469298678415,-0.026598941202857683
HERTFORD,-0.6514716167607713,1.718480209860435,-0.29393201977670025,0.5348180023603116,0.30289274239607644
HOKE,-0.04788901462288352,0.31610783581431223,2.2587464977667704,0.4313152031828851,0.20533079209503613
HYDE,-1.158676911494967,0.8032272966768639,-1.1458192244520449,2.326769616166955,0.9330022548174958
IREDELL,1.1886543537220724,-1.1711823827384666,0.928501097668808,-0.2920023358608029,-0.8901901671568457
JACKSON,0.0534688692703462,0.1547155392704644,-0.8192359880494559,-1.4716116039973808,1.043593323494091
JOHNSTON,0.6851997813652821,-0.8380109533015864,1.3428868756178451,0.11995719802852628,0.13970683229090364
JONES,-1.202700379075006,0.6292375533601023,-0.848931558728276,-0.32330950489459237,0.9622138359516013
LEE,0.19466707287612867,0.09118806651212133,1.113381206536437,0.17101334333671941,1.452308242138416
LENOIR,-0.5001228551733877,1.7293292571270553,0.3314878523208881,0.43321184699268517,0.7623595472255477
LINCOLN,0.41245683497940144,-1.5060360834763138,0.06491415807954395,-0.33024162333244617,-0.9439359440388404
MCDOWELL,-0.8160562588675355,-0.11898179300779142,-0.36449143904051234,-1.7468887576534902,0.6141346642781399
MACON,-0.4059126599018505,-0.4714834255617954,-1.3270364820236353,-0.8455115048857323,0.5959104508126871
MADISON,-0.49440783295660035,-0.8356268552328079,-0.7848238750392342,-1.3929763224292349,-0.792336040567613
MARTIN,-0.4971449533243009,1.0862022517545982,-0.3180724834601725,0.36639173462650476,-0.6859056821720992
MECKLENBURG,2.7571472370178998,-0.2292768107921781,1.5874021597190902,-0.004121145401865994,0.20342870278612862
MITCHELL,-0.3179180083716301,-0.47677362660745354,-1.1734483544513201,-1.2693198374790369,-0.6388707237880362
MONTGOMERY,-0.8543473251754059,-0.3950501651831727,0.44603947028332186,-0.21382218822482357,1.3306421200105392
MOORE,0.6673709002013258,-1.2857117622205911,0.019038878182768042,0.5348575525843536,-1.3475743699703293
NASH,0.31885989485677346,0.4404931120856748,0.6824231040616827,0.15983631527489636,-0.02804162016166377
NEW HANOVER,2.005587346281063,-0.48354579896358607,-0.5721840197999541,1.9337841335352641,-1.3074424245676257
NORTHAMPTON,-1.416868048348423,1.4979609845689565,-1.01639977732388,-0.13954485676098635,0.5153042261380977
ONSLOW,1.0392724462104115,-0.16797426654745382,1.5855943213591355,1.4719991186539259,-0.634694468715622
ORANGE,2.188022496796844,-0.9850577442441256,0.4292144123273641,0.19062563154686898,-1.4462457969271425
PAMLICO,-0.564022666276865,-0.544658080889106,-2.0481614782554254,1.9933147058242346,-1.0241622900600011
PASQUOTANK,0.7027154113078564,0.1323292942107451,0.29282123959223283,1.1827622306999337,-0.8633394337433391
PENDER,0.11392166417956483,-0.8545441867511645,0.5025001594403332,0.5991939274564234,-0.9248370027281497
PERQUIMANS,-0.6872949870409633,-0.20411299812605527,-0.8300355511526272,1.0118864271487396,-0.8379838662567232
PERSON,-0.42116393869335444,-0.055250028682798304,-0.09323582598771604,-0.12271627218471,-0.569259564331544
PITT,1.2158664549433353,1.1107882230974442,0.6208095626531642,0.5386665049256184,-0.41997300843823604
POLK,-0.08579232935807334,-0.9076904264612838,-1.3355341430593672,-0.5811640293938554,-0.5564123578263179
RANDOLPH,-0.014584866925701842,-0.7058915390029311,0.5714906781168781,-0.15658791010563353,0.6877757441614892
RICHMOND,-0.3829992230022512,1.5817383225950021,0.6204236124722191,-0.03700633183048554,0.3724550429908545
ROBESON,-1.1884038204276788,2.1177456669097046,1.4196975285418627,-0.06418882725925183,2.358790507136168
ROCKINGHAM,-0.11287093608186596,0.40853213569186425,-0.1168292894394185,-0.4601172257941773,0.09121832444156723
ROWAN,0.3352700733237802,-0.10880334235914058,0.511862019032721,-0.4844202871589807,0.12080508290424892
RUTHERFORD,-0.7327003639489232,0.21788440298084572,-0.22904212870454277,-1.0915620186440984,0.26005321268490633
SAMPSON,-0.7846854629453792,0.27162693946403643,1.3039952789364213,0.48174363992251534,2.5603139580531673
SCOTLAND,-0.9231330536144339,2.243636709165129,0.8034975505028528,-0.3939842887566133,0.9780004236163641
STANLY,0.17737853397597664,-0.7031778191873972,-0.00329382093550257,-0.3434200694002463,-0.6427034726708941
STOKES,-0.6569753114264281,-0.8853184985405842,-0.4917868045045926,-0.45966048882235205,-0.9562227021655201
SURRY,-0.4477493661985098,-0.23664654936918522,-0.07857209367420229,-0.7017339318395315,0.8704600185498812
SWAIN,-1.2777864153204233,0.9281735227744,0.30844200723411147,-2.379793502452993,1.8676475495369718
TRANSYLVANIA,0.0009240634834950715,-0.8177762496979027,-1.4644397002235485,-0.6362799720778953,-0.38044971493068164
TYRRELL,-1.1252862184213763,0.018269292857220128,-1.2076253964977097,1.4190518103641372,0.6219121520471255
UNION,1.3717721832049807,-1.6180547418979703,1.5116909062704398,-0.49017181685162525,-0.6611078980505369
VANCE,-0.5219609677112286,1.426918705692892,0.883643577177015,0.09732119610495074,0.5910184478026932
WAKE,2.583804092212336,-1.0150583344162478,1.3673924255613328,0.3337321721572166,-0.935236851569393
WARREN,-1.601058353301949,2.1339523923802406,-0.2335126187220807,-0.2999287279648677,0.4721374132063988
WASHINGTON,-1.3639315793453601,2.4034223897514937,-1.0099694957437413,0.8371069815650397,-0.5617446565425862
WATAUGA,1.24638464636223,0.08353416953860847,-1.6577719427125657,-0.25094727245980164,-0.5796390003560872
WAYNE,0.17334476144328975,0.5988995698965929,0.9724669010460707,0.45005206116052227,1.065049352188648
WILKES,-0.6013707953613335,-0.04554237352136728,-0.6651585143822512,-1.0326279613225633,0.8061161064107196
WILSON,0.18051408191326582,1.1177368694809302,0.6205788871527351,0.2996724099656858,0.7789341895350723
YADKIN,-0.3241816434161015,-0.5768324302585672,-0.043953691611296766,-0.5686568676092711,0.7305003421775036
YANCEY,-0.6001674980855882,-0.22443745373917465,-1.1966889896421657,-1.2237968271008748,-0.04162683712176474
